rank_embed,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_embed
243,opcionempleo::7604120,opcionempleo,Gerente de Producción,NEO BIZ S. R. L.,Gerente de Operaciones,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar5e58ce7604120b26c923454a8125b04b,0.32592472
244,opcionempleo::3521437,opcionempleo,Gerente de Producción,Neo-Biz Consultores,Gerente de Operaciones,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar4a21b76beecba498b3521437fdedf464,0.32592472
245,opcionempleo::86503,opcionempleo,Consultor SAP MM Ssr/Sr – Optimiza Compras e Inventarios (San Miguel de Tucumán),Nosotros,Compras / Procurement,"San Miguel de Tucumán, Tucumán",,https://www.opcionempleo.com.ar/jobad/arf86503e4c7bc48ab34c0211ca8d7e66f,0.32507938
246,opcionempleo::71391,opcionempleo,Analista Supply Chain (Tigre),COTECSUD COMPANIA TECNICA SUDAMERIC,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ardab71391e499053ea9b82c6f1b3d9277,0.3240903
247,opcionempleo::50522,opcionempleo,Gerente Sucursal Materiales Eléctricos Pilar,Emprendimientos Gastronomicos,Gerente de Operaciones,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar712fd691bd2e8f7acafef0842d50522e,0.32393998
248,opcionempleo::jobadar0ed979dd1f1065b971d101d14d3d84d1,opcionempleo,Analista Supply Chain (Comex) Permanente (Don Torcuato),Manpower,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0ed979dd1f1065b971d101d14d3d84d1,0.32391188
249,opcionempleo::94324195665,opcionempleo,Senior Associate - Product Owner (Buenos Aires),PwC,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar4532c8bb8a94324195665af54401d553,0.32382664
250,opcionempleo::25356,opcionempleo,Pasante - Finanzas. (Rosario),Cargill,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar0cd8bac7bbf78be981adb9df25c25356,0.32364857
251,linkedin::4387992853,linkedin,Agentic Elixir Engineer - Remote - Latin America,FullStack,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4387992853,0.32362384
252,linkedin::4394621155,linkedin,Process Engineer - CIP,CSG Talent,Ingeniero Industrial,Estados Unidos,,https://www.linkedin.com/jobs/view/4394621155,0.32358307
253,bumeran::1118155518,bumeran,"Operador control de calidad (Automotriz) - Zona Lima, Zárate",Grupo Gestión,Control de Gestión,"Zarate, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/operador-control-de-calidad-automotriz-zona-lima-zarate-grupo-gestion-1118155518.html,0.32355908
254,opcionempleo::jobadarb6200dfb6e8152c3e5b1b3e18afdb547,opcionempleo,Supply Chain Specialist (Buenos Aires),Expertise Consultores,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb6200dfb6e8152c3e5b1b3e18afdb547,0.32287732
255,opcionempleo::252204,opcionempleo,Data Scientist (Buenos Aires),SOLUTIX,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/araebf252204f334809713c314bb275c57,0.32239443
256,opcionempleo::396215,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Tandil,Vana,Data Scientist,"Tandil, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar38ad5b9d6c337edac050ffd396215f54,0.3220576
257,linkedin::4383333218,linkedin,Junior Project Specialist | Localization | Content Creation |,eStoreLabs,Excel / VBA,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4383333218,0.32188806
258,workana::desarrollo-de-herramienta-web-mvp-para-analisis-de-tendencias-de-mercado-libre-argentina,workana,Desarrollo de Herramienta Web Mvp para Análisis de Tendencias de Mercado Libre Argentina,Freelancer J. R. A.,Data Scientist,Argentina,Remoto,https://www.workana.com/job/desarrollo-de-herramienta-web-mvp-para-analisis-de-tendencias-de-mercado-libre-argentina,0.32129633
259,linkedin::4374320572,linkedin,Experto en Inversiones Remoto,Aprende Institute,Finanzas / CAPEX,"Miami, Florida, Estados Unidos",,https://www.linkedin.com/jobs/view/4374320572,0.32099703
260,linkedin::4397760042,linkedin,BI Analyst DF038BB,Coderio | Software Company,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4397760042,0.32079726
261,bumeran::1118217066,bumeran,Asistente de Compras y Logística,LC Consultora,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/asistente-de-compras-y-logistica-lc-consultora-1118217066.html,0.32051694
262,opcionempleo::jobadar643e4948ca7c9fbee6af707d7cfe894f,opcionempleo,Ingeniero/a De Calidad Industria Alimenticia Pilar,Sinergia3,Ingeniero Industrial,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar643e4948ca7c9fbee6af707d7cfe894f,0.32028627
263,opcionempleo::168040,opcionempleo,Analista Senior de Planificación de Compras (Zona Oeste GBA) (Ituzaingó),Reklut,Compras / Procurement,"Ituzaingó, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb653ca6ab4953ec6ff817e0b168040e7,0.3200841
264,opcionempleo::490112,opcionempleo,"HRBP GENERALISTA HARD (Tortuguitas, BSAS NORTE, jornada presencial)",Randstad,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar69ea490112d306dc0dbdd225770f7529,0.32004583
265,linkedin::4397958761,linkedin,Software Engineer,Nucleus Security,Python Developer,"Florida, Estados Unidos",,https://www.linkedin.com/jobs/view/4397958761,0.31924328
266,opcionempleo::19016,opcionempleo,Gerente de Mantenimiento de Planta Industrial (Buenos Aires),Fenix,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar91d5cde51ba85ae19016d2ef965bda2a,0.31919336
267,opcionempleo::697320,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Avellaneda,Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/ar5d697320b2f82fcd32c6372124f6f89f,0.3191153
268,opcionempleo::99391051,opcionempleo,Coordinador de Tráfico – Zona Norte (Tortuguitas),NEXO LABORAL,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar487f459a8f1928d99391051c3d993f6c,0.31860483
269,opcionempleo::531171,opcionempleo,Ingeniero Industrial 203156 Permanente,Manpower,Ingeniero Industrial,San Luis,,https://www.opcionempleo.com.ar/jobad/ar80f6b358dd462a4540dad8ed0e531171,0.3181188
270,linkedin::4396245139,linkedin,Business Intelligence (BI) Analyst,Curana Health,Excel / VBA,Estados Unidos,,https://www.linkedin.com/jobs/view/4396245139,0.3180334
271,opcionempleo::660161109,opcionempleo,comprador a Ingeniero a Industrial Comex,TECNIAS SRL,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar357b2dd4d660161109eed47585c09fe2,0.3179236
272,opcionempleo::jobadar41b8b63a867d113aefa5ef4d733c41af,opcionempleo,Gerente de Logística y Operaciones (Alberti),Manage Resourses,Gerente de Operaciones,"Alberti, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar41b8b63a867d113aefa5ef4d733c41af,0.31759223
273,opcionempleo::77173,opcionempleo,Intelligence Manager Latin America - NRR 4434 (Buenos Aires),Accenture,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard5fa3aafb14f77173f558caaf648fb48,0.3175186
274,opcionempleo::jobadar18fc602b9acd2a324ecfe712d39ffd46,opcionempleo,Consumer Product Manager - Affluent,Visa,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar18fc602b9acd2a324ecfe712d39ffd46,0.3172177
275,linkedin::4390173336,linkedin,"Manager, Analytics and Optimization - Client Care",CHANEL,Continuous Improvement,"Municipio de Piscataway, Nueva Jersey, Estados Unidos",,https://www.linkedin.com/jobs/view/4390173336,0.3171911
276,opcionempleo::jobadarbda6af9b43ed6fe0ce740e1d35be0392,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Caseros,Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/arbda6af9b43ed6fe0ce740e1d35be0392,0.31659454
277,opcionempleo::07733,opcionempleo,Data Scientist Senior para Prevención de Fraude - It (Buenos Aires),MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar07733a55d228a9d20df5681f45f5df4e,0.31631508
278,opcionempleo::8399439,opcionempleo,Ingeniero Industrial Yo Mecánico (Rosario),Link Laboral Puerto Norte,Ingeniero Industrial,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar628c0458fe8399439fe46deac0426f11,0.31578982
279,linkedin::4366210595,linkedin,Machine Learning Engineer / Data Scientist,Fusemachines,Data Scientist,"Nueva York, Nueva York, Estados Unidos",,https://www.linkedin.com/jobs/view/4366210595,0.31478432
280,linkedin::4398582251,linkedin,Executive Assistant,IPX Power,BI / Analytics,Estados Unidos,,https://www.linkedin.com/jobs/view/4398582251,0.31344953
281,linkedin::4398543589,linkedin,Senior Test Automation Engineer,eSimplicity,Continuous Improvement,"Columbia, Maryland, Estados Unidos",,https://www.linkedin.com/jobs/view/4398543589,0.31342798
282,linkedin::4394781539,linkedin,"Director, Global People Operations",Jobgether,Continuous Improvement,Estados Unidos,,https://www.linkedin.com/jobs/view/4394781539,0.3134192
283,bumeran::1118223572,bumeran,Business Intelligence Senior (Data Planning) - Híbrido - 1822,Aliantec,BI / Analytics,CABA,Híbrido,https://www.bumeran.com.ar/empleos/business-intelligence-senior-data-planning-hibrido-1822-aliantec-1118223572.html,0.31314924
284,opcionempleo::21936,opcionempleo,Pasante de Finanzas (Créditos y Cobranzas) (Buenos Aires),Sony,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar350cbde04c36f5dad2859e21936d1e89,0.31305578
285,linkedin::4399295061,linkedin,QA Engineer MS045KA,Coderio | Software Company,Data Scientist,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4399295061,0.31266809
286,opcionempleo::68372,opcionempleo,10OES / Ingeniero de Procesos y Costos / Mar del Plata / Presencial,Cona Consultores,Ingeniero Industrial,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar68372c0797f29bd088d98211ebd1b990,0.3123227
287,bumeran::1118221721,bumeran,Analista Ssr de Logística/Supply Chain CON INGLÉS EXCLUYENTE,GI GROUP Argentina,Supply Chain,"General Pacheco, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-ssr-de-logistica-supply-chain-con-ingles-excluyente-gi-group-argentina-1118221721.html,0.3122879
288,opcionempleo::jobadarba2a9b47e6a3834b0ef3d17d04eebc0b,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Bahía Blanca,Vana,Data Scientist,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arba2a9b47e6a3834b0ef3d17d04eebc0b,0.31209043
289,opcionempleo::jobadar41dffb936cc33e964a10b4b434b450aa,opcionempleo,Ey - Especialista en Data & Artificial Intelligence en Ambientes Azure (Buenos Aires),EY,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar41dffb936cc33e964a10b4b434b450aa,0.3118974
290,opcionempleo::771075,opcionempleo,ANALISTA ADM. DE VENTAS/ EXCEL (Avellaneda),Quimtia,Excel / VBA,Argentina,,https://www.opcionempleo.com.ar/jobad/ar58db7c5b93b460f771075d6129af028e,0.3114258
291,opcionempleo::jobadar54a02e7b5141ce13de83df407ca4543b,opcionempleo,Trainee Supply Chain Monte Grande Buenos Aires (Argentina),Coca-Cola FEMSA,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar54a02e7b5141ce13de83df407ca4543b,0.3107117
292,linkedin::4394490170,linkedin,Data Engineer (FinOps) ID56348,AgileEngine,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4394490170,0.31070516
293,linkedin::4383763103,linkedin,"Process Improvement, Project Manager",KPI Solutions,Continuous Improvement,Estados Unidos,,https://www.linkedin.com/jobs/view/4383763103,0.31046197
294,opcionempleo::03474,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Neuquén (Argentina),Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/ar6e03474bdda067ff164f7e8f32013178,0.3104195
295,opcionempleo::jobadar3a94a6bd7b1666aefebc72d3586b72cc,opcionempleo,Latam Manufacturing Excellence Manager,Lakeland Fire + Safety,Continuous Improvement,Santiago del Estero,,https://www.opcionempleo.com.ar/jobad/ar3a94a6bd7b1666aefebc72d3586b72cc,0.31015092
296,opcionempleo::400368,opcionempleo,Ingeniero/a Técnico/a de Seguridad Industrial (Buenos Aires),futuHRe consulting,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar352b2064b400368efd1b36b74c5ec22b,0.31012785
297,opcionempleo::047342,opcionempleo,Analista De Planeamiento Y Control De Gestión Buenos Aires,CiclosRH Consulting,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar21cbaaca1c3ec2c047342df5b3e01768,0.30994445
298,bumeran::1118226628,bumeran,Gerente de Operación Terrestre – Turismo B2B,Darwin Consulting - Evolución Empresarial,Gerente de Operaciones,CABA,Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-operacion-terrestre--turismo-b2b-darwin-consulting-evolucion-empresarial-1118226628.html,0.30991358
299,opcionempleo::423288382,opcionempleo,Analista Sr de Control de Gestión - Búsqueda (Buenos Aires),Mirgor,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ardff423288382bf97adae8ad0740260e6,0.30983093
300,opcionempleo::jobadar3ac77afc3a25dcc37cdcfe2dce26b54d,opcionempleo,Analista Senior de Control de Gestión & Data Analytics (Vicente López),Delenio,Control de Gestión,"Vicente López, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3ac77afc3a25dcc37cdcfe2dce26b54d,0.3097158
301,linkedin::4398349887,linkedin,People & Talent Partner,Ticketure,Continuous Improvement,"Nueva York, Nueva York, Estados Unidos",,https://www.linkedin.com/jobs/view/4398349887,0.309708
302,opcionempleo::325653636,opcionempleo,Analista de Compras en Recoleta (Buenos Aires),Adecco,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9a76eb5f55aa241e325653636f68181a,0.30958903
303,linkedin::4377035329,linkedin,Agentic Software Engineer (Claude Code) - Remote - Latin America,FullStack,Data Scientist,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4377035329,0.3095404
304,linkedin::4398568557,linkedin,Remote | Customer Service Representative | CSR,Burton Mill Solutions,Continuous Improvement,"Hampden, Maine, Estados Unidos",,https://www.linkedin.com/jobs/view/4398568557,0.30906928
305,opcionempleo::45054,opcionempleo,Analista de Compras SSR - Hybrid Enfoque en Proveedores (Lanús),Benito Roggio Ambiental,Compras / Procurement,"Lanús, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/areec45054bd0e006fecf3e027bc567fdf,0.3084999
306,linkedin::4399431667,linkedin,"Data Analyst, Retention",Ollie,Excel / VBA,Estados Unidos,,https://www.linkedin.com/jobs/view/4399431667,0.30847946
307,linkedin::4309801128,linkedin,Data Scientist,DataAnnotation,Data Scientist,"Florida, Estados Unidos",,https://www.linkedin.com/jobs/view/4309801128,0.30838504
308,opcionempleo::82753,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Berazategui,Vana,Data Scientist,"Berazategui, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3cc51f1b5ce1c8ce82753ce9fd39347e,0.30801404
309,opcionempleo::jobadar5256a552f105adc2289be5bd6c4dda71,opcionempleo,Senior Associate - Ingenieria de IA Generativa (Buenos Aires),PwC,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar5256a552f105adc2289be5bd6c4dda71,0.30799437
310,linkedin::4398027689,linkedin,"Director, Supply Chain Operations",Unreal Snacks,Supply Chain,"Boston, Massachusetts, Estados Unidos",,https://www.linkedin.com/jobs/view/4398027689,0.30779368
311,opcionempleo::jobadar7ac4cd6dc2e4291a5c92a8cbd93fb796,opcionempleo,Analista Control de Gestión Ssr. Zona San Telmo,Grupo Gestión,Control de Gestión,"San Telmo, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar7ac4cd6dc2e4291a5c92a8cbd93fb796,0.3077653
312,bumeran::1118211274,bumeran,Analista de Compras Sr,Confidencial,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-sr-1118211274.html,0.30759156
313,linkedin::4371453517,linkedin,Industrial Engineer,Locus Robotics,Ingeniero Industrial,"Wilmington, Massachusetts, Estados Unidos",,https://www.linkedin.com/jobs/view/4371453517,0.30740187
314,opcionempleo::jobadarb42c0e4f78d54d8d31f517ff82dd18fe,opcionempleo,Gerente de Produccion (Maipú),Adecco,Gerente de Operaciones,"Maipú, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb42c0e4f78d54d8d31f517ff82dd18fe,0.30713695
315,opcionempleo::07493,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Venado Tuerto,Vana,Data Scientist,"Venado Tuerto, Santa Fe",,https://www.opcionempleo.com.ar/jobad/are9510cf785a9e07493b74c9280a298ce,0.30685726
316,opcionempleo::84336858,opcionempleo,Coordinador de Análisis de Marketing,Baliarda,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/aref7ff733adf3ac22d84336858f7b5447,0.30668175
317,opcionempleo::3485753,opcionempleo,Gerente de operaciones (Rosario),,Gerente de Operaciones,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arfbff59b3485753f7d512ec770af5dea7,0.30599123
318,linkedin::4361297788,linkedin,Senior DevOps Engineer - Remote - Latin America,FullStack,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4361297788,0.30592012
319,opcionempleo::64840,opcionempleo,Analista de Planeamiento y Control de Gestión,La Serenísima,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar64840eaeac93d8eca4076a963a570de1,0.3057227
320,opcionempleo::34210,opcionempleo,REF 20663 Analista de Control de Gestión y costos/ Industria avícola (Buenos Aires),ADN Recursos Humanos,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1f34210fc43f08197967ccf4ddb73ee1,0.30561855
321,opcionempleo::55706,opcionempleo,Business Intelligence Analyst with Tableau Id30972 (Buenos Aires),AgileEngine,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arff55706c8cbeae1aef189a8da2b2f818,0.30511397
322,opcionempleo::41460,opcionempleo,Ingeniero Industrial Electromecánico Córdoba,Hand Selection,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar5e0b8c1f5ede41460ae7f43556daf5f9,0.30493742
323,bumeran::1118174556,bumeran,Gerente de Finanzas y Gestión comercial - Indumentaria,AUREIA,Finanzas / CAPEX,CABA,Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-finanzas-y-gestion-comercial-indumentaria-aureia-1118174556.html,0.30466074
324,linkedin::4385669908,linkedin,Data Engineer (Middle) ID50589,AgileEngine,Data Scientist,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4385669908,0.3046586
325,linkedin::4315307232,linkedin,Agentic Ruby on Rails Engineer - Remote - Latin America,FullStack,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4315307232,0.30460405
326,linkedin::4388205374,linkedin,Retail Logistics Manager,Skylight,Supply Chain,Estados Unidos,,https://www.linkedin.com/jobs/view/4388205374,0.30458653
327,opcionempleo::56848062,opcionempleo,Ingeniero/a de Oficina Técnica de Taller (Buenos Aires),INTERNATIONAL CAREER PROGRAM,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2341ca887a8d2c56848062da9f398dee,0.30417433
328,linkedin::4381053083,linkedin,Strategy Analyst,Libra Solutions,BI / Analytics,Estados Unidos,,https://www.linkedin.com/jobs/view/4381053083,0.30405155
329,opcionempleo::5199538,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Mar Del Plata,Vana,Data Scientist,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arbf5199538eb66477629f2cc449938e16,0.30391708
330,opcionempleo::jobadarc00f1513ae637c5c2755efec925c71d0,opcionempleo,Logistics Performance Specialist,PedidosYa,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc00f1513ae637c5c2755efec925c71d0,0.30321592
331,opcionempleo::796641816,opcionempleo,Trainee Supply Chain Monte Grande (Buenos Aires),Coca-Cola FEMSA,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar27df4c796641816cf4080b8cf1004912,0.30318946
332,opcionempleo::jobadar0d6166b1626d055bfa5360e4fbea359e,opcionempleo,Analista de Control y Gestion (Belgrano),Pacifica Continental,Control de Gestión,"Belgrano, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0d6166b1626d055bfa5360e4fbea359e,0.30314857
333,opcionempleo::60647,opcionempleo,Programador FSH/FHIR Senior en Salud | Python (Berazategui),DaBrein Solutions,Python Developer,"Berazategui, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb60647a2b59659d333339b73ad5506f7,0.30308825
334,linkedin::4400541928,linkedin,Data Analyst,FlyteHealth,Excel / VBA,Estados Unidos,,https://www.linkedin.com/jobs/view/4400541928,0.30281132
335,opcionempleo::33125774,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Ituzaingó,Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/ar5f76c68b1d0a33125774be442455bbb8,0.30267978
336,linkedin::4388475684,linkedin,Controller,Omatic,Control de Gestión,"Mount Pleasant, Carolina del Sur, Estados Unidos",,https://www.linkedin.com/jobs/view/4388475684,0.302494
337,opcionempleo::00533,opcionempleo,"Service Technician, 4 stroke (Buenos Aires)",Wärtsilä,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfa5cbfbe00533cafe29f0b78e84dcc16,0.3024752
338,linkedin::4393226304,linkedin,Senior AI Engineer - Remote - Latin America,FullStack,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4393226304,0.30246645
339,opcionempleo::jobadarfc00b5dcc5d7a97e2e6f31f5a45b0768,opcionempleo,Analista de control de gestion (Buenos Aires),Aliancers,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfc00b5dcc5d7a97e2e6f31f5a45b0768,0.30238637
340,bumeran::1118211626,bumeran,"Jefe de Contabilidad, Costos y control de Gestión para zona Norte.",Confidencial,Control de Gestión,"Munro, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/jefe-de-contabilidad-costos-y-control-de-gestion-para-zona-norte.-1118211626.html,0.30230796
341,bumeran::1118188223,bumeran,encargado de compras,Confidencial,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/encargado-de-compras-1118188223.html,0.3019957
342,bumeran::1118213194,bumeran,Analista de compras,Confidencial,Compras / Procurement,CABA,Híbrido,https://www.bumeran.com.ar/empleos/analista-de-compras-1118213194.html,0.30199006
343,opcionempleo::21155496,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Ezeiza,Vana,Data Scientist,"Ezeiza, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arccc815af21c0f133dfc21155496f7ac1,0.3017599
344,linkedin::4400374350,linkedin,Data Analyst (PowerBI And DAX),TEKsystems,BI / Analytics,"Schaumburg, Illinois, Estados Unidos",,https://www.linkedin.com/jobs/view/4400374350,0.30163613
345,opcionempleo::jobadar27b9ba431c1864e097e409e5eea013a2,opcionempleo,Supply Chain Finance Analyst,Mars,Supply Chain,"Mercedes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar27b9ba431c1864e097e409e5eea013a2,0.3015985
346,opcionempleo::37046,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Zárate (Argentina),Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/arf5e37046d07c6d7a9e4cc8049af1b93b,0.30146283
347,opcionempleo::449309,opcionempleo,Business Intelligence Analyst (Buenos Aires),Nestlé,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc049be449309bf719ccd57f9eb6d2082,0.3010434
348,linkedin::4390755640,linkedin,Software Engineer ID55640,AgileEngine,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4390755640,0.30064493
349,linkedin::4399037342,linkedin,Process Improvement Lead,Unicon Pharma Inc,Continuous Improvement,Estados Unidos,,https://www.linkedin.com/jobs/view/4399037342,0.30064228
350,linkedin::4396386964,linkedin,Engineer- Manufacturing I USA (1st Shift),First Solar,Ingeniero Industrial,Estados Unidos,,https://www.linkedin.com/jobs/view/4396386964,0.30049133
351,bumeran::1118202091,bumeran,Gerente de Administrción & Finanzas,Confidencial,Finanzas / CAPEX,"Vicente López, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-administrcion-finanzas-1118202091.html,0.30022982
352,linkedin::4393209732,linkedin,BI Engineer (Oracle Fusion Reporting) - Remote - Latin America,FullStack,BI / Analytics,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4393209732,0.30004197
353,opcionempleo::456123805,opcionempleo,Analista de Compras Sr (Buenos Aires),Koming2000,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9197c6ce456123805f291cb909b53d07,0.30000886
354,opcionempleo::jobadarffaf981e3b9597e4956f24c09d823ea1,opcionempleo,Fraud Data Scientist: Ml & Anomaly Detection Comodoro Rivadavia (Argentina),Vana,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/arffaf981e3b9597e4956f24c09d823ea1,0.29988542
355,opcionempleo::779449,opcionempleo,BackOffice Cuentas Sr,FindMe,Excel / VBA,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar2d879ae7af779449d90e4960205ff477,0.29983613
356,opcionempleo::jobadar56e6e9561bfe72da9c080b4b66d5eba1,opcionempleo,Artificial Intelligence Manager (Buenos Aires),Reklut,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar56e6e9561bfe72da9c080b4b66d5eba1,0.29975688
357,opcionempleo::24282,opcionempleo,ACCOUNTANT ($30mil-$43mil),Alvacom Employment Solutions,Excel / VBA,San Juan,,https://www.opcionempleo.com.ar/jobad/areb24282d144400bdf3faf6d31134dbc5,0.29949284
358,opcionempleo::47017,opcionempleo,Coordinador de Ventas- rubro Automotriz,Cross Border Talents,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb298bda5db2969b9554f39f0b47017c4,0.29943633
359,linkedin::4399895609,linkedin,Data Science -Intern,Sparksoft Corporation,Python Developer,Estados Unidos,,https://www.linkedin.com/jobs/view/4399895609,0.2994241
360,opcionempleo::jobadar92ccfc0e1bd8f0837be2c860aba366a3,opcionempleo,Coordinador Comercial,Cross Border Talents,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar92ccfc0e1bd8f0837be2c860aba366a3,0.29930156
361,opcionempleo::58809163270760,opcionempleo,Analista de control de gestión (Buenos Aires),ID Logistics,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbeb708b5ab58c58809163270760bcc90,0.29907313
