rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
574,opcionempleo::7437617,opcionempleo,Backend Software Engineer Java / Python Buenos Aires,,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb7e942c3b4475d250cbdc62ec7437617,0.22130316444938233,0.0412354425763752
575,getonboard::full-stack-senior-developer-factor-it-remote-9c39,getonboard,Full-Stack Senior Developer,,Backend,Remoto,Remoto,https://www.getonbrd.com/jobs/full-stack-senior-developer-factor-it-remote-9c39,0.2212430347681313,0.0412242386063618
576,getonboard::senior-backend-engineer-node-js-typescript-aws-bc-tecnologia-remote,getonboard,Senior Back-end Engineer (Node.js / TypeScript / AWS),,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-backend-engineer-node-js-typescript-aws-bc-tecnologia-remote,0.2208906597940628,0.0411585805393174
577,opcionempleo::jobadar3fc49daa4d6fec20bd658dc899a4fa41,opcionempleo,Senior Data Scientist Engineer - Prevención De Fraude It,MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3fc49daa4d6fec20bd658dc899a4fa41,0.22051047913129954,0.04108774143529
578,getonboard::cloud-engineer-mid-sr-alegra-remote,getonboard,Cloud Engineer Mid/Sr,,NLP Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/cloud-engineer-mid-sr-alegra-remote,0.22042910044493175,0.0410725781358541
579,getonboard::devops-engineer-full-stack-developer-informat-s-a-santiago,getonboard,DevOps Engineer & Full-Stack Developer,,Full Stack,Chile,Híbrido,https://www.getonbrd.com/jobs/devops-engineer-full-stack-developer-informat-s-a-santiago,0.22018853143163034,0.0410277528855766
580,opcionempleo::11095,opcionempleo,Programador full stack (Argentina),Xnod,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/aredd38d9776d280dcd11095dfe5c1f880,0.21975309731367793,0.0409466183992655
581,getonboard::analista-de-observabilidad-y-operaciones-ti-riskamerica-remote,getonboard,Analista de Observabilidad y Operaciones TI,,Python Developer,Remoto,Remoto,https://www.getonbrd.com/jobs/analista-de-observabilidad-y-operaciones-ti-riskamerica-remote,0.21938185691151138,0.0408774451349624
582,getonboard::ingeniero-de-seguridad-aplicativa-devsu-quito,getonboard,Ingeniero de Seguridad Aplicativa,,NLP Engineer,Ecuador,Remoto,https://www.getonbrd.com/jobs/ingeniero-de-seguridad-aplicativa-devsu-quito,0.21933442649370677,0.040868607420081
583,linkedin::4460621968,linkedin,Fullstack Developer (Node - Next.js),Artax Advisors,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4460621968,0.21905472818332974,0.0408164912036457
584,bumeran::1118424319,bumeran,Desarrollador Web Junior / Estudiante Avanzado de Programación,Los Elegidos,Software Engineer,CABA,Presencial,https://www.bumeran.com.ar/empleos/desarrollador-web-junior-estudiante-avanzado-de-programacion-los-elegidos-1118424319.html,0.21876886781497185,0.0407632268102801
585,opcionempleo::jobadarac8db7ef87af8daf8e13a8d6b102e132,opcionempleo,AI Lead / Tech Lead – Python / Azure OpenAI / SemanticKernel (Híbrido) (Buenos Aires),Talent Connect,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arac8db7ef87af8daf8e13a8d6b102e132,0.2187583395883649,0.0407612650846773
586,bumeran::1118392928,bumeran,Node Js Software Engineer - Remoto - 1834,Aliantec,Software Engineer,"Buenos Aires, Buenos Aires",Remoto,https://www.bumeran.com.ar/empleos/node-js-software-engineer-remoto-1834-aliantec-1118392928.html,0.2183104199530283,0.0406778041705611
587,linkedin::4449830956,linkedin,Senior Data Scientist Engineer - Prevención de Fraude IT,Mercado Libre,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4449830956,0.21817119919799413,0.0406518631522122
588,linkedin::4442425154,linkedin,Backend Developer SR | Go,redbee Studios,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4442425154,0.21807933216316513,0.0406347455576727
589,opcionempleo::jobadar5aa4dc6ce1fa91fd617f352d37da36c3,opcionempleo,Senior Data Scientist Engineer - Prevención de Fraude IT,MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar5aa4dc6ce1fa91fd617f352d37da36c3,0.218017107100806,0.0406231511550707
590,opcionempleo::688948,opcionempleo,Machine Learning Specialist (Buenos Aires),,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar688948ae0d13dfa7529fe392b3327bf4,0.2178847586584994,0.0405984906554959
591,opcionempleo::84940,opcionempleo,Data Analyst,Especialistas de Reclutamiento,Data Analyst,"Agronomía, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/are6d2f5d4089fb155ab2fc84940bdc067,0.2176901821739776,0.0405622351980822
592,opcionempleo::547872,opcionempleo,Ingeniero de Obras Fib Optica (San Telmo),Novacor,Ingeniero de Datos,"San Telmo, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3264dc244d074ce558a5b547872f819d,0.21766022887899386,0.040556653997387
593,opcionempleo::2105341,opcionempleo,"Senior It & Operational Risk Analyst - Proactive, Hybrid",Naranja X,Data Analyst,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar15c2105341fc3ef44d610faa30a422a5,0.2172621356281761,0.0404824772388893
594,opcionempleo::75939,opcionempleo,Python Developer SR/SSR (Rosario),Python,Python Developer,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar75939c9035570f541ef34ddfb69580e1,0.21650985595276004,0.040342304885574
595,getonboard::senior-backend-developer-typescript-nestjs-bc-tecnologia-santiago,getonboard,Senior Back-end Developer – TypeScript / NestJS,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/senior-backend-developer-typescript-nestjs-bc-tecnologia-santiago,0.21615339835267547,0.0402758861023823
596,getonboard::staff-data-engineer-checkr-santiago,getonboard,Staff Data Engineer,,Data Analyst,Chile,Remoto,https://www.getonbrd.com/jobs/staff-data-engineer-checkr-santiago,0.2158331975126617,0.0402162230452175
597,opcionempleo::230563922,opcionempleo,Desarrollador Backend - NODE JS - Córdoba excluyente-POSICIÓN CUBIERTA,Idearhumano,Desarrollador Backend,Argentina,,https://www.opcionempleo.com.ar/jobad/arcb230563922a96f339ff1a1c11c3d8f5,0.21578205439544962,0.0402066935426538
598,linkedin::4454096665,linkedin,Data Platform Engineer,Payway Ar,Data Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4454096665,0.21576775399794398,0.0402040289480393
599,opcionempleo::jobadar4aa0a9d6564dbc789bc717b502fb785e,opcionempleo,Ingeniero de Datos (Senior) (Parque Patricios),C\u0026S informatica,Ingeniero de Datos,"Parque Patricios, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar4aa0a9d6564dbc789bc717b502fb785e,0.21573838955343622,0.040198557467917
600,getonboard::developer-full-stack-sr-42labs-santiago,getonboard,Developer Full-Stack Sr,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/developer-full-stack-sr-42labs-santiago,0.2157081692964339,0.04019292652416
601,opcionempleo::77471327072,opcionempleo,Desarrollador/a Full Stack Senior - Next.js / React (Part-Time) (Argentina),Workana,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/arf596c005b8abedcc77471327072dd350,0.21549741989769527,0.0401536575658904
602,bumeran::1118435687,bumeran,Desarrollador formulas cosméticas,Soledad Maldonado,Software Engineer,"San Martin, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/desarrollador-formulas-cosmeticas-soledad-maldonado-1118435687.html,0.2144875320369148,0.0399654850515235
603,opcionempleo::5427077094,opcionempleo,Data Scientist (Ssr) - Python / Llms / Hugging Face... (Buenos Aires),Talent Connect,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar86e5427077094d2bf6d4a649ec8b50b2,0.2135080120063574,0.0397829709782478
604,getonboard::ingeniero-a-de-datos-aws-big-data-bc-tecnologia-remote,getonboard,Ingeniero/a de Datos AWS,,Ingeniero de Datos,Remoto,Remoto,https://www.getonbrd.com/jobs/ingeniero-a-de-datos-aws-big-data-bc-tecnologia-remote,0.21308961360951845,0.039705010759695
605,linkedin::4450800765,linkedin,Líder de Business Intelligence,Xubio,Data Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450800765,0.21305678454303872,0.0396988937161858
606,opcionempleo::3110489,opcionempleo,Ingeniero Mecánico - Experiencia en Oficina Técnica ( Excluyente) (Bahía Blanca),Adecco,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arc2c3110489fffe236493ce4d0abcaacb,0.21287089488320113,0.0396642568757554
607,opcionempleo::88489,opcionempleo,Desarrollador Backend (SSR) – Computer Vision & AI / Python / Azure OpenAI,Talent Connect,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9f4331f9a7dcef88489cbfd3bbdfa84a,0.211303742772961,0.0393722492534919
608,opcionempleo::75229,opcionempleo,Desarrollador Full Stack Y Automatización Ia — Flexible,B&B Consultores,Desarrollador Full Stack,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/are7c5a75229aa81892686a101f40bbc2e,0.21128412967811686,0.0393685947434075
609,opcionempleo::jobadar5a05a5e32cffb2313d09ab5e3f6a71b8,opcionempleo,Software Engineer Backend Sr - Credit Core,Pomelo,Software Engineer,Chubut,,https://www.opcionempleo.com.ar/jobad/ar5a05a5e32cffb2313d09ab5e3f6a71b8,0.21044140924729746,0.0392115705543524
610,opcionempleo::788301,opcionempleo,Python Developer Ssr (Buenos Aires),Werben HR,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb8f8ba788301f3156767635648708c18,0.2103086456405982,0.0391868326971514
611,bumeran::1118385278,bumeran,Programador/a JAVA Senior – APIs,David Rochwarger,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/programador-a-java-senior--apis-david-rochwarger-1118385278.html,0.20997301789128353,0.0391242951423074
612,opcionempleo::jobadar53c173c969c331df0f9855c6bccda4b6,opcionempleo,Programador full stack SSR Django Phyton Gral Pacheco Presencial (Tigre),Yel,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/ar53c173c969c331df0f9855c6bccda4b6,0.2098067379205415,0.0390933121773679
613,getonboard::desarrollador-fullstack-semi-senior-hf-solutions-santiago,getonboard,Desarrollador Full-Stack Semi Senior,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/desarrollador-fullstack-semi-senior-hf-solutions-santiago,0.20975143439880917,0.0390830074661798
614,opcionempleo::845661,opcionempleo,AI Tax Transformation Analyst (Buenos Aires),Despegar,NLP Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar39b6f845661a88dbc4722d2d06bd0d15,0.20875741776736517,0.0388977922396924
615,linkedin::4455494284,linkedin,Desarrollador Fullstack Junior/Junior+ (Python/Web),AKRIBIS,Python Developer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4455494284,0.2087001534932256,0.0388871221812961
616,opcionempleo::81364870,opcionempleo,Especialista Actuarial & Analytics (Python/Sql),Lisicki Litvin & Asociados,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are81364870ff9857ea54589ff9c994c93,0.20828831723394736,0.038810384686545
617,opcionempleo::691413,opcionempleo,Remote Full Stack Engineer Python/react – Growth & Flex Funes,NTT Data,Python Developer,"Funes, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar07d5ad4c5ce21e691413cf9577987e7a,0.20820541382225508,0.0387949372848744
618,opcionempleo::8933320678,opcionempleo,Ingenieros/as para vendedor/a técnico/a (Parque Industrial y Tecnológico deFlorencio Varela) (Florencio Varela),Grupo Gestión,Ingeniero de Datos,"Florencio Varela, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar25c17d8933320678fd68ed92b7323bce,0.20743461400819918,0.0386513140721225
619,linkedin::4448787787,linkedin,"Data, Analytics & Martech",GUT Buenos Aires,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4448787787,0.20671612999435496,0.0385174388680845
620,getonboard::customer-onboarding-mexico-bsale-ciudad-de-mexico,getonboard,Agente Customer Onboarding CDMX,,NLP Engineer,Mexico,Remoto,https://www.getonbrd.com/jobs/customer-onboarding-mexico-bsale-ciudad-de-mexico,0.20636924523514213,0.0384528037933682
621,getonboard::analista-qa-semi-senior-tcit-santiago-242f,getonboard,QA Automation Engineer,,Backend,Chile,Remoto,https://www.getonbrd.com/jobs/analista-qa-semi-senior-tcit-santiago-242f,0.20592331243052112,0.0383697130856342
622,opcionempleo::926711,opcionempleo,Senior Datastage Consultant ETL Ingeniero Soporte - Importante Empresa de tecnologia (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar35d0b54f0e4cad7b6184ddb4aa926711,0.20564674520352907,0.0383181802843048
623,opcionempleo::073311096,opcionempleo,Data Scientist & Ai Engineer: End-To-End Ml & Genai,hiberus,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9f764a5ed073311096cb86cbacdb0b0a,0.2055918808665447,0.0383079574064583
624,getonboard::data-engineer-timining-santiago-45d2,getonboard,Data Engineer,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/data-engineer-timining-santiago-45d2,0.20445898240542654,0.038096864313621
625,linkedin::4463041718,linkedin,"Desarrollador/a Full Stack | Integraciones, Ecommerce e IA",Red Hook Data,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4463041718,0.20438053074221288,0.0380822464067261
626,opcionempleo::jobadare7dc4df085b8400a0e7e0592cb36cf4b,opcionempleo,Software Engineer III Full Stack (Buenos Aires),Emergencias,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are7dc4df085b8400a0e7e0592cb36cf4b,0.20423504521799465,0.0380551380732573
627,linkedin::4440612921,linkedin,Developer Full Stack Node/Angular Sr. 4/GF,Acciona IT,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4440612921,0.2039484361187781,0.0380017341687898
628,getonboard::ai-native-marketing-content-lead-omnix-ai-corp-remote,getonboard,AI Native Marketing & Content Lead,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/ai-native-marketing-content-lead-omnix-ai-corp-remote,0.203550206605955,0.0379275320205779
629,opcionempleo::63006,opcionempleo,Data Science (Python IA),mindIT HR Agency,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar71f41f63006f72e88bd0a2b2895a6389,0.20308248394955705,0.0378403812074047
630,opcionempleo::9710932,opcionempleo,Data Scientist (Buenos Aires),Etermax,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9710932a3b97fe80a9b3dbeae68ecd8e,0.20297471542108136,0.0378203006858335
631,opcionempleo::05725,opcionempleo,Cyber Security Software Engineer (Buenos Aires),MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0d478c4999b4842bf05725d9e666b9bc,0.2026186838120122,0.0377539612775938
632,linkedin::4454766595,linkedin,Full Stack Engineer,Yochana,Desarrollador Full Stack,Argentina,,https://www.linkedin.com/jobs/view/4454766595,0.20173921807276296,0.0375900903312432
633,getonboard::project-manager-neuralworks-santiago-3486,getonboard,Product Manager,,Data Scientist,Chile,Híbrido,https://www.getonbrd.com/jobs/project-manager-neuralworks-santiago-3486,0.20108933886732752,0.0374689982685789
634,bumeran::1118436298,bumeran,".NET Software Engineer (Angular) - Remoto - Argentina, todo el país",Aliantec,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/.net-software-engineer-angular-remoto-argentina-todo-el-pais-aliantec-1118436298.html,0.20083406664175407,0.0374214333671679
635,bumeran::1118436309,bumeran,Data Science (Python IA) - Remoto - 1731,Aliantec,Python Developer,CABA,Remoto,https://www.bumeran.com.ar/empleos/data-science-python-ia-remoto-1731-aliantec-1118436309.html,0.20059886048088305,0.037377607377764
636,opcionempleo::261954,opcionempleo,"NET Software Engineer (Angular) - Remoto - Argentina, todo el país",Aliantec,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf1edadbe261954f9b8d54f54a89dd183,0.2004639545836562,0.0373524703473372
637,getonboard::ingeniero-a-de-proyecto-implementacion-ziyu-santiago,getonboard,Ingeniero/a de Proyecto — Implementación,,Data Analyst,Chile,Remoto,https://www.getonbrd.com/jobs/ingeniero-a-de-proyecto-implementacion-ziyu-santiago,0.2002109592444706,0.0373053296984132
638,opcionempleo::jobadar83d27f3f133b7e04e73eacf0fe1f596a,opcionempleo,AI Tax Transformation Analyst (Argentina),Despegar,NLP Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar83d27f3f133b7e04e73eacf0fe1f596a,0.20006691576770835,0.0372784900618029
639,bumeran::1118399189,bumeran,Desarrollador/a RPG / COBOL Senior – AS/400,Confidencial,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/desarrollador-a-rpg-cobol-senior--as-400-1118399189.html,0.1998120738873345,0.0372310053466595
640,opcionempleo::4329900,opcionempleo,Data Science (Python IA) - Remoto,Aliantec,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb79b9812e9db34f4329900caa6555c24,0.19916526666833348,0.0371104856875599
641,opcionempleo::jobadar6202fd5a4bac98a280c6422fea8354b4,opcionempleo,"Senior Data Scientist, Security AI for Ecommerce (Buenos Aires)",MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6202fd5a4bac98a280c6422fea8354b4,0.19880372739649943,0.0370431200359213
642,linkedin::4464383379,linkedin,AI Tax Transformation Analyst,Despegar,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4464383379,0.1983419149395891,0.0369570704708581
643,bumeran::1118373677,bumeran,Analista Programador C / Ideafix – Full remoto,SOLUTIX S.A.,Software Engineer,CABA,Presencial,https://www.bumeran.com.ar/empleos/analista-programador-c-ideafix--full-remoto-solutix-s.a.-1118373677.html,0.19721355044369038,0.0367468221922507
644,opcionempleo::4940758884,opcionempleo,Senior Backend Software Engineer- Search Ads Core - It,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2cc646ed4940758884ad61beb6007524,0.19664859632040596,0.0366415542293323
645,getonboard::software-engineer-backend-senior-continuum-remote,getonboard,Senior Back-end Engineer Go GCP,,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/software-engineer-backend-senior-continuum-remote,0.1965583337656408,0.0366247355977367
646,linkedin::4460733547,linkedin,Senior Backend Software Engineer- Search Ads Core - IT,Mercado Libre,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4460733547,0.19644558156187192,0.0366037264674089
647,opcionempleo::00258,opcionempleo,Sr Software Engineer IOS (Buenos Aires),PedidosYa,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb69b9a14eda43dcf00258f0181c15a54,0.19635312338754718,0.0365864987257832
648,opcionempleo::jobadare16b079cbfd6ec389df4868b968ce440,opcionempleo,Sr Software Engineer IOS,PedidosYa,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are16b079cbfd6ec389df4868b968ce440,0.1962260955595739,0.0365628296168528
649,opcionempleo::032975,opcionempleo,Sr Software Engineer Backend Search Ads Core Buenos Aires (Argentina),MercadoLibre,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar6a4c62f7dad31e6f032975a55b047e16,0.19613568981089094,0.036545984303919
650,opcionempleo::55972,opcionempleo,Sr Software Engineer Backend Search Ads Core Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar55972d779eed57260636cecf536a11fb,0.19505038096341581,0.0363437585889409
651,linkedin::4443987891,linkedin,Software Engineer III - Alojamientos,Despegar,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4443987891,0.19493257291497634,0.0363218074025286
652,opcionempleo::jobadar016c169e75b7074c3dda9bb42c1fd05d,opcionempleo,Sr Software Engineer Backend- Search Ads Core,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar016c169e75b7074c3dda9bb42c1fd05d,0.19473899171796066,0.0362857373971436
653,opcionempleo::73556,opcionempleo,Ingeniero de IA Senior (San Nicolás),C\u0026S informatica,NLP Engineer,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar234b7d73556a54ab64c868c29e835788,0.19452288189737682,0.0362454696308916
654,opcionempleo::jobadar62fd1dab6bba76cac5495c1db0498e12,opcionempleo,Ai Fullstack Sr,Agnostic,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar62fd1dab6bba76cac5495c1db0498e12,0.1943820105799549,0.0362192210630744
655,opcionempleo::0329271,opcionempleo,Data Analyst (Agronomía),Especialistas de Reclutamiento,Data Analyst,Argentina,,https://www.opcionempleo.com.ar/jobad/ar7bb746e0fb01e29fd75bc4b6b0329271,0.19386613281206702,0.036123097502767
656,opcionempleo::3407580,opcionempleo,Sr. Software Engineer - Java/Aws,Coderio,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar648e1931cea6b1bdacf84e3407580ebb,0.1933846745825218,0.0360333873387631
657,opcionempleo::85455,opcionempleo,Desarrollador Backend C# Netcore Ssr (Buenos Aires),Business Commercial Management,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar85455a58e386d253b11a05d435ca2a72,0.19338424526371564,0.0360333073437435
658,linkedin::4460022448,linkedin,Desarrollador .NET,Grupo Hasar,Desarrollador Backend,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4460022448,0.19334354832958062,0.0360257242796028
659,opcionempleo::68682,opcionempleo,Machine Learning Specialist,Pacifica Continental,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara00b7f440e68682db93fd707b0eacfde,0.19277619917561586,0.0359200100503586
660,getonboard::software-development-engineer-healthatom-remote-d014,getonboard,Software Development Engineer,,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/software-development-engineer-healthatom-remote-d014,0.1925794480206625,0.0358833493863681
661,bumeran::1118431707,bumeran,Desarrollador Sr Frontend Developer (React),Evolucionar Consultora,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/desarrollador-sr-frontend-developer-react-evolucionar-consultora-1118431707.html,0.19222792122524385,0.0358178493605433
662,opcionempleo::72647,opcionempleo,AI FullStack SR,Agnostic,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arff631e032fbd72647a3e4bd01c106eec,0.1919071567632609,0.035758081283636
663,getonboard::developer-backend-salesforce-marketing-cloud-bice-vida-santiago,getonboard,Developer Back-end & Salesforce Marketing Cloud,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/developer-backend-salesforce-marketing-cloud-bice-vida-santiago,0.19185536323567837,0.0357484305900376
664,opcionempleo::2483047,opcionempleo,Sr. Software Engineer - Java/AWS (Córdoba),Coderio,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar25fb2483047cca93e8ced4655d5077df,0.1917003863248823,0.0357195537254808
665,opcionempleo::929798,opcionempleo,Sr. Software Engineer - Java/AWS (Argentina),Coderio,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ard6ee7be1a6649ae76c31ceb929798abd,0.19164531959175987,0.03570929313514
666,bumeran::1118422626,bumeran,Instrumentista Programador/a PLC Zona Pilar,Grupo Gestión,Software Engineer,"Pilar, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/instrumentista-programador-a-plc-zona-pilar-grupo-gestion-1118422626.html,0.19152585271469205,0.0356870328590099
667,linkedin::4454085107,linkedin,Sr. Software Engineer - Java/AWS,Coderio | Software Company,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4454085107,0.19085171217065536,0.035561420178499
668,getonboard::desarrollador-full-stack-node-js-angular-bc-tecnologia-remote-2c3b,getonboard,Desarrollador Full-Stack Node.js / Angular,,Full Stack,Remoto,Remoto,https://www.getonbrd.com/jobs/desarrollador-full-stack-node-js-angular-bc-tecnologia-remote-2c3b,0.19064900709971322,0.0355236501206981
669,opcionempleo::90431,opcionempleo,Data Analyst Ssr,GMA Consultores,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are7934ca869db90431ae192a66024f23a,0.19034390043397756,0.0354667995626597
670,bumeran::1118430946,bumeran,Desarrollador BACKEND PYTHON +IA+Agentes Sr/ Software Financiero / REMOTO para ARGENTINA,Kaizen Recursos Humanos,Software Engineer,CABA,Remoto,https://www.bumeran.com.ar/empleos/desarrollador-backend-python-iaagentes-sr-software-financiero-remoto-para-argentina-kaizen-recursos-humanos-1118430946.html,0.19031144043415146,0.03546075128738
671,getonboard::arquitecto-de-datos-sector-financiero-devsu-quito,getonboard,Arquitecto de Datos Sector Financiero,,Data Analyst,Ecuador,Híbrido,https://www.getonbrd.com/jobs/arquitecto-de-datos-sector-financiero-devsu-quito,0.18856277419407683,0.035134922117665
672,getonboard::desarrollador-full-stack-java-bc-tecnologia-santiago,getonboard,Desarrollador Full-Stack Java,,Full Stack,Chile,Híbrido,https://www.getonbrd.com/jobs/desarrollador-full-stack-java-bc-tecnologia-santiago,0.18845467436657545,0.0351147798651105
673,opcionempleo::jobadar7377f38a0779b731bac43b5bea6b5cb2,opcionempleo,Desarrollador Backend (Ssr) – Computer Vision & Ai / Python / Azure Openai,Talent Connect,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7377f38a0779b731bac43b5bea6b5cb2,0.18821994960936625,0.035071043575703
674,getonboard::arquitecto-de-datos-lisit-santiago,getonboard,Arquitecto de Datos,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/arquitecto-de-datos-lisit-santiago,0.18798332742620466,0.0350269537387125
675,linkedin::4461945119,linkedin,Backend Engineer Sr – Node.js & AWS,Unify,Desarrollador Backend,Argentina,,https://www.linkedin.com/jobs/view/4461945119,0.18774154825627756,0.03498190299982
676,linkedin::4444408017,linkedin,Senior Data Scientist,Cashea,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4444408017,0.1875606245458721,0.0349481914652846
677,bumeran::1118392714,bumeran,Desarrollador/a Backend,Find Me,Software Engineer,"Rosario, Santa Fe",Híbrido,https://www.bumeran.com.ar/empleos/desarrollador-a-backend-find-me-1118392714.html,0.1858420711220791,0.0346279732198855
678,opcionempleo::892662403,opcionempleo,Sr. Software Engineer Java/Aws (Salta),,Software Engineer,Salta,,https://www.opcionempleo.com.ar/jobad/ardc45e5c892662403a447caa0b8c6502a,0.1854946534329364,0.0345632388442777
679,opcionempleo::13617,opcionempleo,Machine Learning Engineer,Grupo Prominente,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar75c97bafe5ace58b13617f32bfb259a6,0.18543960889014244,0.0345529823886632
680,linkedin::4456007063,linkedin,Software Engineer Java SSR - Core Foundation,Naranja X,Software Engineer,"Córdoba, Córdoba, Argentina",,https://www.linkedin.com/jobs/view/4456007063,0.18430339937219953,0.0343412723462495
681,opcionempleo::23082,opcionempleo,Desarrollador/A Backend,,Desarrollador Backend,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar76e00b3b0ce797bb23082d68713ba827,0.18373599240373392,0.0342355473444231
